"","BE","SS","HH","HRLM","ICT","TT","IO","PC","ATI","GPI","TSI","NR","CR","NLR","ES","SI","DS"
"TJK",3.60409123420715,6.07934545657974,4.70991255188181,3.69255006724574,3.3889391796429,3.2109513628135,2.64544194724724,5.89964325410012,2.37866680561642,2.93917418418875,1.62743970981666,2.36612004534704,1.46018560719562,1.13757135938091,3.92671784721396,4.65760213374011,4.46379824486873
"DNK",5.77153734750681,6.51392652601478,5.81476465798903,5.52214682432185,6.60247736030615,3.76596084715781,5.16194029214661,2.88121882943573,4.75682371375716,5.52535920814066,4.89623701356695,2.76271638495632,2.02525685439735,3.37023884261494,5.69414897693026,4.31440805080962,3.33917786005831
"PAK",3.41309149975981,4.52650517108215,3.49486143543642,3.23640222408138,3.30003212620557,3.07763963696559,2.94788478400426,6.04388159262376,3.31078104776777,3.36777493049691,1.66571930248541,2.88710721330218,1.9727003708392,2.77135116321488,3.63553149767097,4.31077756549367,3.96685053759432
"TUN",3.43247705228446,5.17078761736685,4.4063964261982,3.37661632692056,4.27995672887123,5.59785632746518,3.42566423069142,5.93554817787878,2.94915458253907,2.6919181927202,2.6901331830419,2.02450412533219,1.83301531387668,2.64086796888413,3.96673707586478,3.44506750465334,3.3481697925845
"AZE",4.55788224084037,5.2585915241668,5.44737026813806,4.47240738341134,5.06763883873561,4.49840233993321,3.70421808155007,5.83094558826298,3.15228627903791,4.28699433705135,2.82808114507663,1.841580969894,2.48298962321642,1.53290017955378,3.97383518198519,4.40991253324985,4.28089541583226
"QAT",5.11487613189094,6.77660831363329,4.67016635322213,4.47473397108845,5.82666367626054,3.31733295399326,3.97220682096761,3.34412020972928,5.46030598507657,4.22181512441472,3.66178148709436,1.30668499768913,1.86464908840052,3.14559671408369,3.76947158744405,4.10905008739503,3.21965289850463
"LTU",5.07813955368443,5.93569011812569,6.45326586981661,5.24938725404802,6.0555146477191,4.35164882082249,4.08765783010623,4.94140642746982,2.93749387839611,4.4708973891885,3.56495508267623,1.59708409460848,1.66182054515069,1.57837554820021,5.26027610812011,4.49675296996554,3.1614326368923
"MUS",4.90718562822162,6.05529718853704,5.12513661400468,4.05096567540421,5.4126586547034,5.93195799708014,4.79318667617208,3.90903057301562,4.12201614050689,3.89833568148148,3.11736823710085,1.41353306192563,1.47995929681847,1.32548754808361,3.74495345871221,3.98487524367236,4.31986327053448
"DOM",4.21525059789761,4.89833663065154,4.1377199611275,3.89833939392659,4.67674601828882,5.83426398045903,4.19817924313295,3.79362322221697,4.30167440483546,3.26835520366837,3.4040685504757,2.24928679820617,1.46912924480268,1.62765355836149,4.37845117987261,5.37692325145559,4.29689774905597
"BEN",3.58860424062877,5.01330965184764,1.46231322801273,3.84259004309848,3.56386646273788,2.66319873123582,3.32088783878083,5.36612983789335,2.4022344841756,3.30950148971327,1.34120048908141,2.32310545261838,1.44470828349441,1.05821334604818,3.82893632747414,5.09258883703142,4.02808204587882
"UZB",4.05816129193987,6.16606173298911,5.00462658581575,4.35370195764824,5.02108639958898,3.29845973453192,3.38492571628065,5.49308480429643,3.04568293736375,3.44362103064501,1.44543562293893,2.4863795110764,1.85275157546646,1.42886914715937,3.08237559510777,4.80197032636299,4.13057200537476
"FIN",6.00384127731342,6.55917088226209,6.04964333333333,5.54046999192774,6.37614260624449,4.48283051163446,4.70911308239206,3.29073540426097,4.25765138676941,4.41014860209246,3.43726530928683,2.4079162296244,1.80556397845432,3.56379861712023,5.84413443056903,5.19434842215214,2.9210831698194
"KWT",4.44195565943559,6.52919499994444,4.78491979451988,3.72250949411642,5.32120811251857,2.28067358333333,2.87513925687688,3.73683234369367,4.14797401759333,3.0021617395086,1.71631174945064,1.35355751697035,1.32702870360473,2.44943757918497,3.73333489440737,3.98562590147956,3.09365821357192
"BIH",3.31159310136576,6.00086755409678,5.10047022935503,3.62023861918789,4.88232723566838,2.824152828,4.63199529615961,5.09704597344362,2.52053953963293,2.56592399307664,2.85361636566709,1.73998928889119,1.5861357791801,1.32993624850329,4.07419148634391,4.499786274307,2.97586669797407
"THA",4.15180929602532,4.86757557588651,4.30718423344237,4.0630554760376,5.68308432359555,4.14164420915188,4.33957831716073,4.96406737009454,4.88991170150167,3.76120509722368,2.1758322524968,4.54898280969233,2.862876854628,4.17469910293255,4.12515612665745,3.30407490188815,3.66523957998171
"KGZ",3.45451299836847,5.6468,5.01044336184405,4.12360940754823,4.38892391006339,3.51165339190415,3.12678503410318,5.87477317452826,2.53478620812129,2.21881239144889,1.25677755621982,2.02628719874674,1.70681227011052,1.19663623613954,3.43123281450256,3.83503559762163,4.11579217276714
"KEN",3.66285049484857,4.61358448076045,2.31114328278332,4.02519059169152,4.00079065026042,4.84782848282233,3.45676904094171,5.08410383785747,3.21456737502845,3.2330510613908,1.2506121722169,3.75505728244078,1.65850142271693,1.99249983453745,4.52645641753462,6.05468169679937,4.89260032547666
"SRB",4.1904633224655,6.10278953381898,6.02473995084738,4.34003110532694,5.56198679539426,3.7151318089929,4.50209247577189,4.95280367762051,3.39106487985392,3.51206306794806,2.44781082127587,1.58683330513344,1.71626338376756,1.71647256682927,4.08781349524581,4.30608453731977,3.39016786568481
"ARE",5.56986489962121,6.39965060426067,4.83184854101832,4.6720706127713,6.23319626659389,5.38583493162239,5.66670461054507,4.27839005783957,6.51508706685104,4.6742587251867,5.48352953569884,1.8486866848382,2.48303649129284,3.83811791412234,4.05695795188714,2.6723581695232,3.92054560382961
"LBN",3.03685814503261,5.02338034355452,4.88065685627971,3.65640998535583,4.34652179808168,5.98055754530669,3.29061872364862,4.09212355689039,3.42500013221307,2.47269090773639,4.35765809408589,1.34986211806358,1.77479707518505,1.85563147824331,3.72333086892468,5.28024110614319,3.75731922259968
"BHR",4.80269328769378,5.98743210240883,4.30534165057934,3.98496701030257,5.73519046896281,4.85686366728202,3.56672336838404,4.74202107946573,4.46483206455629,4.50741058620291,3.33986469224768,1.22135754433509,1.54580037118819,2.4232910016931,3.50516705792315,3.97741401293543,4.39531980801811
"EST",5.55273491898407,6.2917280637254,5.8593737407704,5.32213704347237,6.41664795418544,5.70339450931115,4.14784681112108,4.29415800296496,2.82872231841325,4.62895368817204,3.89640263454567,1.60418804949729,1.84988940115158,1.43176721762571,5.30537515877315,4.4497303568182,3.10412499471706
