"","BE","SS","HH","HRLM","ICT","TT","IO","PC","ATI","GPI","TSI","NR","CR","NLR","ES","SI","DS"
"MYS",4.90787694006413,5.87820891695026,4.50902146549625,3.88469797808302,5.63600108902146,4.22055552992998,4.99108116992389,6.20080164504003,4.18492582307261,4.05456628777248,2.79347112665691,3.95874418363541,2.44769630592434,3.88397636647826,4.31064091010612,2.79648892087963,4.08792551492348
"TUR",3.55464177189556,4.95778911260244,4.85367295242858,3.51963001071081,5.28846138529749,6.12403663746366,4.16398325825273,5.19123387691752,5.50047016183446,3.72369334025273,3.39776594128972,3.49939775286748,4.95974643324971,4.22607327654376,4.18052391668437,4.32343968107567,3.10383449146039
"MAR",4.15098254106794,5.74835086167168,3.71411716859467,3.09877171141427,4.40920213179679,4.37839290620244,4.18802091876944,4.8403423241982,3.64522974614331,3.3309838420248,2.31253254865404,2.19637770896864,2.75438632705754,2.90087259165182,3.99922145773446,2.68904823276246,3.49366464396424
"IDN",4.66968706769707,5.77432033906877,3.78326695066748,4.13206997703192,4.81298946523355,6.03016776226417,3.83009283025378,5.44378398440485,4.34460174158959,3.97126647478589,1.8956868196069,5.43348650856518,3.98213266895253,3.0619141667975,4.34235113205033,5.40657343748427,4.83821725371631
"PRT",4.97187220713432,6.54812471167684,6.17225123544077,4.72023147747106,6.01732767644667,5.14435465102075,4.90199108747312,3.62525512242331,5.29384076405435,4.34880600635364,4.62488326019837,3.38695748819715,4.41664870262539,3.88353272743022,5.20274090400293,4.75736716734174,3.26356462913133
"IND",3.78952840642075,5.06213009761754,3.47285200417673,2.85392674791812,3.84316365826785,4.11067664056137,4.13241304717976,5.65555427587344,4.59120353273488,4.43205950614303,1.59508598236004,5.79533179540897,5.62442256044101,5.0475599150871,3.64205539744572,4.0061488003111,4.5548293695865
"ESP",4.91546886296735,6.14013222844557,5.9884223597761,4.74688008131438,6.05185522275115,5.72505783202814,5.01123091472055,3.60193945922212,6.05686620395151,4.9238396542326,5.46056896179728,4.95387099870257,6.64297169014064,4.80592928163068,5.38939604363969,4.24753221946731,3.34088437753719
"KOR",4.84370436096191,6.28916270299796,6.21034301801705,4.57603709260925,6.55027328931582,4.55796259223128,3.87207102792715,4.5456377293509,4.68740121468185,5.39885193761384,2.81935469269878,2.3559817634762,5.58824377337222,4.72448768777014,4.70097855718367,5.24954741680921,3.66790294949352
"IRN",2.45668282008717,5.39329546013289,4.2903496019598,3.03552813145615,4.90388351621445,3.87288636146374,3.07786504805191,6.02545079737259,2.88038301569484,2.85474959904005,3.00549606705235,3.47314405266522,3.75728934218419,2.15595693494674,3.96163273234003,4.6131096936943,3.4061270510239
"BWA",4.71066317428153,5.00312150486995,3.56903179386638,4.66734723760003,4.5731126176846,4.36767808405702,2.53204549527625,5.26904901509598,2.07525079690832,2.92821501442806,3.75767608501113,2.69887708065217,1.29478550592275,1.17461596076811,4.59893287065321,6.0672116967758,3.7318685038761
"NAM",3.86294549086485,5.13700590834419,2.95668897843988,3.95735164304046,4.40679413815075,3.79566271327094,2.47704325913569,5.54715777986614,2.36566221884478,3.24524875003318,2.25634332727097,3.20786978120034,1.18656652397962,1.14273884215577,4.69518349227298,4.45958726762574,3.90691989477572
"ITA",4.89423719661732,5.78974096457212,5.88385941222492,4.68120021166388,5.84786429940912,5.2308708635313,4.80094436450717,3.15031655326043,5.24389166235038,4.7905969842704,4.59785939456841,4.99801612220253,6.73885929339187,4.22979274079423,5.36812459861135,3.4632170136938,3.53243391858707
"ZMB",3.74209292702392,5.2150078962447,2.37995064687832,3.67374954375439,3.67713931092238,3.94314891924518,3.27769135103732,5.24301773761558,2.28996729866066,2.53765818870306,1.33108010912204,3.13953231315315,1.36782216741263,1.29233531367501,4.22493543811948,5.00430662965595,4.46621164484494
"DEU",5.58303415794404,5.75263008538075,6.85552,5.08685056880406,6.1217291272425,5.18875430594018,5.04545346191833,3.65434974570627,5.35040938763733,5.34132313768051,3.56393853677767,3.46794129813419,6.26666666666667,5.26740389316412,5.62328300090732,3.40696895005363,3.35150753315734
